b,lOCode,e,v,n,i,t,loc,d,v(g),defects
0.23,29,27392.06,695.67,156.0,17.67,1521.78,32.0,39.38,3.0,False
0.21,41,13933.68,619.27,125.0,27.52,774.09,50.0,22.5,3.0,False
0.04,13,931.62,123.19,29.0,16.29,51.76,19.0,7.56,2.0,False
0.07,15,2070.11,197.15,43.0,18.78,115.01,21.0,10.5,2.0,False
0.1,24,4077.71,301.19,62.0,22.25,226.54,32.0,13.54,4.0,False
0.07,9,1737.05,199.04,44.0,22.81,96.5,15.0,8.73,2.0,False
0.13,22,3995.89,390.71,75.0,38.2,221.99,33.0,10.23,3.0,False
0.05,8,1154.99,165.0,37.0,23.57,64.17,13.0,7.0,2.0,False
0.02,7,381.44,68.11,19.0,12.16,21.19,13.0,5.6,2.0,False
0.05,8,1154.99,165.0,37.0,23.57,64.17,13.0,7.0,2.0,False
0.55,61,45540.0,1656.0,276.0,60.22,2530.0,82.0,27.5,7.0,False
0.08,12,2781.61,247.25,52.0,21.98,154.53,17.0,11.25,2.0,False
0.09,22,5269.82,278.83,58.0,14.75,292.77,29.0,18.9,3.0,False
0.14,23,7445.53,413.64,82.0,22.98,413.64,31.0,18.0,3.0,False
0.07,13,1411.73,222.91,48.0,35.2,78.43,22.0,6.33,2.0,False
0.17,26,7805.62,513.53,108.0,33.78,433.65,40.0,15.2,2.0,False
0.06,9,1393.26,189.99,42.0,25.91,77.4,14.0,7.33,2.0,False
0.09,16,3610.26,275.78,58.0,21.07,200.57,24.0,13.09,7.0,False
0.03,3,527.7,83.76,22.0,13.3,29.32,5.0,6.3,2.0,False
0.02,3,510.86,68.11,19.0,9.08,28.38,5.0,7.5,2.0,False
0.18,24,8172.62,537.67,104.0,35.37,454.03,38.0,15.2,3.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,False
0.07,10,1541.07,211.52,45.0,29.03,85.62,17.0,7.29,2.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,False
0.07,10,1541.07,211.52,45.0,29.03,85.62,17.0,7.29,2.0,False
0.13,22,4431.82,387.97,87.0,33.96,246.21,38.0,11.42,2.0,False
0.04,13,486.0,108.0,27.0,24.0,27.0,20.0,4.5,2.0,False
0.07,17,2115.2,206.82,44.0,20.22,117.51,25.0,10.23,2.0,False
0.56,64,49650.32,1665.03,288.0,55.84,2758.35,92.0,29.82,10.0,False
0.35,42,35790.87,1055.37,190.0,31.12,1988.38,57.0,33.91,9.0,False
0.1,15,5610.46,298.78,67.0,15.91,311.69,20.0,18.78,4.0,False
0.14,22,6709.04,423.73,84.0,26.76,372.72,35.0,15.83,6.0,False
0.08,14,4664.92,248.8,55.0,13.27,259.16,19.0,18.75,6.0,False
0.06,10,1676.34,174.17,41.0,18.1,93.13,13.0,9.63,4.0,False
0.05,13,800.08,162.52,37.0,33.01,44.45,17.0,4.92,2.0,False
0.07,12,3791.77,203.13,47.0,10.88,210.65,16.0,18.67,5.0,False
0.05,9,898.96,138.3,32.0,21.28,49.94,12.0,6.5,3.0,False
0.1,19,5206.92,301.85,65.0,17.5,289.27,27.0,17.25,7.0,False
0.03,9,562.59,93.77,24.0,15.63,31.26,11.0,6.0,2.0,False
0.0,2,12.0,8.0,4.0,5.33,0.67,4.0,1.5,1.0,False
0.01,2,82.5,33.0,11.0,13.2,4.58,4.0,2.5,1.0,False
0.02,3,150.59,56.47,17.0,21.18,8.37,5.0,2.67,1.0,False
0.0,2,12.0,8.0,4.0,5.33,0.67,4.0,1.5,1.0,False
0.03,8,480.0,96.0,24.0,19.2,26.67,12.0,5.0,1.0,False
0.02,2,116.27,49.83,15.0,21.36,6.46,4.0,2.33,1.0,False
0.02,3,134.42,58.81,17.0,25.73,7.47,5.0,2.29,1.0,False
0.22,26,8918.62,645.69,115.0,46.75,495.48,31.0,13.81,6.0,False
0.03,5,254.41,81.41,22.0,26.05,14.13,7.0,3.12,1.0,False
0.02,3,134.42,58.81,17.0,25.73,7.47,5.0,2.29,1.0,False
0.02,0,272.43,51.89,15.0,9.88,15.14,2.0,5.25,1.0,False
0.18,26,9000.07,553.48,104.0,34.04,500.0,35.0,16.26,6.0,False
0.19,32,9564.48,567.06,99.0,33.62,531.36,42.0,16.87,4.0,False
0.02,4,166.52,66.61,18.0,26.64,9.25,8.0,2.5,1.0,False
0.0,2,12.0,8.0,4.0,5.33,0.67,6.0,1.5,1.0,False
0.28,41,19337.17,853.68,147.0,37.69,1074.29,53.0,22.65,7.0,False
0.02,4,166.52,66.61,18.0,26.64,9.25,8.0,2.5,1.0,False
0.15,21,5002.6,448.95,89.0,40.29,277.92,29.0,11.14,4.0,False
0.15,21,5002.6,448.95,89.0,40.29,277.92,32.0,11.14,4.0,False
0.15,21,5002.6,448.95,89.0,40.29,277.92,31.0,11.14,4.0,False
0.0,2,12.0,8.0,4.0,5.33,0.67,6.0,1.5,1.0,False
0.0,2,12.0,8.0,4.0,5.33,0.67,7.0,1.5,1.0,False
0.0,2,17.41,11.61,5.0,7.74,0.97,4.0,1.5,1.0,False
0.01,2,72.0,24.0,8.0,8.0,4.0,4.0,3.0,1.0,False
0.03,7,342.66,91.38,24.0,24.37,19.04,9.0,3.75,1.0,False
0.14,27,5534.14,427.35,84.0,33.0,307.45,37.0,12.95,5.0,False
0.08,16,3377.64,225.18,54.0,15.01,187.65,18.0,15.0,6.0,False
0.02,5,129.72,51.89,15.0,20.76,7.21,10.0,2.5,1.0,False
0.07,14,1798.93,220.92,47.0,27.13,99.94,19.0,8.14,3.0,False
0.01,2,145.3,41.51,12.0,11.86,8.07,4.0,3.5,1.0,False
0.02,2,277.53,55.51,15.0,11.1,15.42,4.0,5.0,1.0,False
0.02,2,209.72,46.6,13.0,10.36,11.65,4.0,4.5,1.0,False
0.01,2,179.89,44.97,13.0,11.24,9.99,4.0,4.0,1.0,False
0.02,6,116.27,46.51,14.0,18.6,6.46,9.0,2.5,2.0,False
0.92,114,175998.75,2766.85,447.0,43.5,9777.71,142.0,63.61,38.0,False
0.92,114,175998.75,2766.85,447.0,43.5,9777.71,141.0,63.61,38.0,False
1.02,128,195935.01,3061.48,490.0,47.84,10885.28,163.0,64.0,40.0,False
0.13,26,5898.55,380.55,83.0,24.55,327.7,34.0,15.5,4.0,False
0.5,62,64740.1,1499.13,267.0,34.71,3596.67,84.0,43.19,18.0,False
0.27,37,31011.15,817.88,174.0,21.57,1722.84,49.0,37.92,5.0,False
0.38,42,21820.37,1138.7,192.0,59.42,1212.24,65.0,19.16,8.0,False
0.5,62,64740.1,1499.13,267.0,34.71,3596.67,84.0,43.19,18.0,False
0.5,62,64740.1,1499.13,267.0,34.71,3596.67,84.0,43.19,18.0,False
1.05,130,215448.99,3160.43,521.0,46.36,11969.39,149.0,68.17,35.0,False
0.01,5,67.5,27.0,9.0,10.8,3.75,7.0,2.5,2.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,17.0,False
0.08,8,1146.24,229.25,50.0,45.85,63.68,10.0,5.0,1.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,17.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,25.0,False
0.19,23,22374.62,559.37,122.0,13.98,1243.03,36.0,40.0,9.0,False
0.4,33,49402.7,1213.4,228.0,29.8,2744.59,54.0,40.71,10.0,False
0.1,10,4887.48,293.25,61.0,17.59,271.53,15.0,16.67,4.0,False
0.13,16,7833.16,398.51,79.0,20.27,435.18,22.0,19.66,5.0,False
0.06,8,1941.4,171.3,39.0,15.11,107.86,17.0,11.33,3.0,False
0.88,62,222659.18,2650.7,465.0,31.56,12369.95,85.0,84.0,24.0,False
0.2,15,12754.41,590.0,118.0,27.29,708.58,23.0,21.62,9.0,False
0.08,10,3256.73,252.01,53.0,19.5,180.93,17.0,12.92,3.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,False
0.17,26,5352.9,508.75,100.0,48.35,297.38,32.0,10.52,3.0,False
0.26,31,10353.48,781.94,149.0,59.06,575.19,41.0,13.24,2.0,False
0.76,91,75892.01,2277.86,368.0,68.37,4216.22,109.0,33.32,16.0,False
0.25,43,10273.98,761.04,143.0,56.37,570.78,50.0,13.5,4.0,False
0.47,59,33065.46,1408.34,233.0,59.99,1836.97,66.0,23.48,10.0,False
0.31,44,11626.55,916.51,165.0,72.25,645.92,53.0,12.69,3.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,6.0,False
0.19,19,11852.91,574.69,116.0,27.86,658.5,29.0,20.63,8.0,False
0.06,16,1736.95,182.84,41.0,19.25,96.5,18.0,9.5,5.0,False
0.28,14,23474.8,841.2,164.0,30.14,1304.16,17.0,27.91,4.0,False
0.65,32,94569.44,1942.6,358.0,39.9,5253.86,36.0,48.68,8.0,False
0.04,11,900.7,112.59,27.0,14.07,50.04,15.0,8.0,2.0,False
0.01,2,60.0,24.0,8.0,9.6,3.33,4.0,2.5,1.0,False
0.15,24,5623.7,448.95,89.0,35.84,312.43,31.0,12.53,5.0,False
0.02,3,449.97,70.31,19.0,10.99,25.0,6.0,6.4,2.0,False
0.07,14,2840.66,218.51,49.0,16.81,157.81,18.0,13.0,3.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,5.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,5.0,False
0.23,33,6370.63,702.07,138.0,77.37,353.92,43.0,9.07,11.0,False
0.08,11,2849.17,230.7,51.0,18.68,158.29,21.0,12.35,2.0,False
0.17,36,7621.43,515.74,99.0,34.9,423.41,51.0,14.78,11.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,8.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,False
0.01,2,31.02,15.51,6.0,7.75,1.72,4.0,2.0,1.0,False
0.0,2,12.0,8.0,4.0,5.33,0.67,4.0,1.5,1.0,False
0.01,4,38.77,15.51,6.0,6.2,2.15,4.0,2.5,1.0,False
0.0,1,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,False
0.24,36,22632.04,723.84,149.0,23.15,1257.34,38.0,31.27,6.0,False
0.61,53,55903.67,1828.91,335.0,59.83,3105.76,66.0,30.57,8.0,False
0.1,19,6086.45,312.13,69.0,16.01,338.14,25.0,19.5,6.0,False
0.04,13,550.43,125.1,30.0,28.43,30.58,18.0,4.4,2.0,False
0.04,8,742.59,129.66,30.0,22.64,41.25,11.0,5.73,2.0,False
0.01,2,100.0,30.0,10.0,9.0,5.56,4.0,3.33,1.0,False
0.07,8,1798.93,220.92,47.0,27.13,99.94,12.0,8.14,2.0,False
0.14,32,5261.67,410.0,82.0,31.95,292.31,41.0,12.83,7.0,False
0.17,18,3222.93,514.29,98.0,82.07,179.05,35.0,6.27,2.0,False
0.09,15,2670.88,283.28,61.0,30.04,148.38,20.0,9.43,1.0,False
0.09,14,2757.83,275.78,58.0,27.58,153.21,22.0,10.0,3.0,False
0.48,40,11806.16,1450.47,257.0,178.2,655.9,55.0,8.14,1.0,False
0.09,11,3484.0,268.0,67.0,20.62,193.56,17.0,13.0,1.0,False
0.01,2,54.0,27.0,9.0,13.5,3.0,4.0,2.0,1.0,False
1.36,122,263719.21,4082.48,673.0,63.2,14651.07,148.0,64.59,16.0,False
0.12,17,5242.4,363.11,74.0,25.15,291.24,18.0,14.44,2.0,False
0.44,54,23519.79,1306.65,225.0,72.59,1306.65,68.0,18.0,9.0,False
0.61,91,45146.08,1828.1,369.0,74.03,2508.12,107.0,24.7,1.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,15.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,False
0.12,14,4225.91,362.22,78.0,31.05,234.77,20.0,11.67,4.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,False
0.06,14,1950.69,183.4,40.0,17.24,108.37,15.0,10.64,3.0,False
0.04,8,1172.67,125.64,33.0,13.46,65.15,11.0,9.33,2.0,False
0.07,17,2118.21,216.64,53.0,22.16,117.68,24.0,9.78,2.0,False
0.05,5,463.25,138.97,34.0,41.69,25.74,8.0,3.33,1.0,False
0.02,2,225.85,50.19,14.0,11.15,12.55,4.0,4.5,1.0,False
0.16,20,2827.34,471.22,97.0,78.54,157.07,31.0,6.0,1.0,False
0.03,6,466.67,80.0,20.0,13.71,25.93,8.0,5.83,3.0,False
0.11,13,4413.08,337.11,78.0,25.75,245.17,17.0,13.09,2.0,False
0.06,8,1716.73,171.67,42.0,17.17,95.37,14.0,10.0,1.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,False
0.02,5,252.0,63.0,21.0,15.75,14.0,7.0,4.0,1.0,False
0.11,10,3263.94,317.07,64.0,30.8,181.33,17.0,10.29,2.0,False
0.11,11,3170.72,318.95,65.0,32.08,176.15,17.0,9.94,2.0,False
0.04,9,852.01,110.45,26.0,14.32,47.33,12.0,7.71,4.0,False
0.02,10,332.11,69.19,20.0,14.41,18.45,13.0,4.8,2.0,False
1.22,104,138706.15,3666.24,562.0,96.91,7705.9,147.0,37.83,13.0,False
0.15,20,2271.84,463.64,89.0,94.62,126.21,23.0,4.9,1.0,False
0.24,28,7841.01,731.44,145.0,68.23,435.61,39.0,10.72,2.0,False
0.19,27,10420.37,582.96,120.0,32.61,578.91,31.0,17.87,2.0,False
0.31,31,19312.86,919.66,174.0,43.79,1072.94,41.0,21.0,4.0,False
0.43,46,29171.77,1286.99,233.0,56.78,1620.65,78.0,22.67,1.0,False
0.26,34,6503.52,792.81,150.0,96.65,361.31,41.0,8.2,2.0,False
0.04,8,1096.52,121.84,32.0,13.54,60.92,13.0,9.0,1.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,3.0,False
0.0,2,17.41,11.61,5.0,7.74,0.97,4.0,1.5,1.0,False
0.07,12,1745.81,206.32,45.0,24.38,96.99,24.0,8.46,1.0,False
0.01,3,87.17,34.87,11.0,13.95,4.84,5.0,2.5,1.0,False
0.26,34,9171.08,782.24,148.0,66.72,509.5,45.0,11.72,4.0,False
0.05,10,2177.52,152.81,46.0,10.72,120.97,12.0,14.25,2.0,False
0.12,17,5848.95,350.94,73.0,21.06,324.94,26.0,16.67,3.0,False
0.18,14,3344.41,551.83,103.0,91.05,185.8,16.0,6.06,1.0,False
0.01,3,166.42,44.38,14.0,11.83,9.25,5.0,3.75,1.0,False
0.05,6,1039.23,148.46,38.0,21.21,57.74,8.0,7.0,1.0,False
0.06,9,1786.0,188.0,47.0,19.79,99.22,26.0,9.5,1.0,False
0.09,14,7942.85,283.67,82.0,10.13,441.27,17.0,28.0,2.0,False
2.23,189,435745.07,6685.77,1002.0,102.58,24208.06,215.0,65.18,19.0,False
0.02,6,265.68,55.35,16.0,11.53,14.76,10.0,4.8,2.0,False
0.02,7,451.71,71.7,20.0,11.38,25.09,10.0,6.3,2.0,False
0.18,24,7951.67,543.7,106.0,37.18,441.76,31.0,14.63,6.0,False
0.7,63,75345.25,2109.67,402.0,59.07,4185.85,73.0,35.71,2.0,False
0.35,50,32400.39,1044.08,179.0,33.65,1800.02,66.0,31.03,6.0,False
0.35,50,32400.39,1044.08,179.0,33.65,1800.02,66.0,31.03,6.0,False
0.34,50,29743.56,1018.62,177.0,34.88,1652.42,66.0,29.2,6.0,False
0.01,3,36.19,18.09,7.0,9.05,2.0,6.0,2.0,1.0,False
0.01,2,39.3,19.65,7.0,9.83,2.18,4.0,2.0,1.0,False
0.13,16,2397.22,399.54,85.0,66.59,133.18,22.0,6.0,1.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,3.0,False
0.42,41,38583.81,1270.0,254.0,41.8,2143.54,47.0,30.38,9.0,False
0.5,71,12004.59,1487.52,247.0,184.32,666.92,89.0,8.07,4.0,False
1.39,120,81068.35,4164.47,604.0,213.93,4503.8,133.0,19.47,4.0,False
0.01,4,248.16,41.36,16.0,6.89,13.79,7.0,6.0,1.0,False
0.01,3,124.54,41.51,12.0,13.84,6.92,5.0,3.0,1.0,False
0.06,13,757.8,187.65,45.0,46.46,42.1,16.0,4.04,1.0,False
0.01,4,248.16,41.36,16.0,6.89,13.79,7.0,6.0,1.0,False
0.03,5,739.96,89.69,27.0,10.87,41.11,8.0,8.25,1.0,False
0.2,30,15071.36,605.4,113.0,24.32,837.3,37.0,24.89,7.0,False
0.07,16,5893.71,196.46,76.0,6.55,327.43,19.0,30.0,1.0,False
0.03,7,536.04,96.21,26.0,17.27,29.78,9.0,5.57,2.0,False
0.2,29,9384.66,610.38,119.0,39.7,521.37,48.0,15.38,8.0,False
0.01,3,31.02,20.68,8.0,13.79,1.72,8.0,1.5,1.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,False
0.02,6,244.16,46.51,14.0,8.86,13.56,9.0,5.25,2.0,False
0.02,4,345.94,51.89,15.0,7.78,19.22,6.0,6.67,2.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,False
0.02,3,298.63,60.94,17.0,12.44,16.59,5.0,4.9,1.0,False
0.19,19,12703.26,567.11,136.0,25.32,705.74,27.0,22.4,1.0,False
0.08,9,1652.84,226.18,50.0,30.95,91.82,27.0,7.31,1.0,False
0.01,5,128.78,41.21,13.0,13.19,7.15,7.0,3.12,1.0,False
0.02,6,411.67,58.81,17.0,8.4,22.87,8.0,7.0,2.0,False
0.01,4,179.67,44.92,16.0,11.23,9.98,7.0,4.0,1.0,False
0.01,4,179.67,44.92,16.0,11.23,9.98,7.0,4.0,1.0,False
0.02,6,411.67,58.81,17.0,8.4,22.87,8.0,7.0,2.0,False
0.01,2,31.02,15.51,6.0,7.75,1.72,4.0,2.0,1.0,False
0.01,2,31.02,15.51,6.0,7.75,1.72,4.0,2.0,1.0,False
0.02,5,122.4,51.0,17.0,21.25,6.8,7.0,2.4,1.0,False
0.07,13,1589.34,215.22,49.0,29.14,88.3,19.0,7.38,2.0,False
2.18,203,789353.69,6549.22,1118.0,54.34,43852.98,272.0,120.53,23.0,False
0.04,5,712.75,126.71,31.0,22.53,39.6,10.0,5.63,1.0,False
0.08,14,3019.23,232.25,61.0,17.87,167.74,19.0,13.0,2.0,False
0.07,13,3043.13,202.88,64.0,13.53,169.06,19.0,15.0,1.0,False
0.07,14,603.48,216.64,53.0,77.77,33.53,17.0,2.79,1.0,False
0.03,5,1558.08,103.87,37.0,6.92,86.56,7.0,15.0,1.0,False
0.05,11,1728.91,157.17,37.0,14.29,96.05,14.0,11.0,3.0,False
0.09,13,4841.34,266.27,56.0,14.65,268.96,16.0,18.18,5.0,False
0.1,17,3327.88,302.53,70.0,27.5,184.88,28.0,11.0,3.0,False
0.06,13,1044.78,182.84,41.0,32.0,58.04,18.0,5.71,2.0,False
0.14,28,8249.27,423.04,90.0,21.69,458.29,33.0,19.5,5.0,False
0.27,31,10880.54,803.09,148.0,59.28,604.47,39.0,13.55,3.0,False
0.29,56,21253.29,875.0,175.0,36.02,1180.74,81.0,24.29,4.0,False
0.07,10,1359.08,204.37,50.0,30.73,75.5,12.0,6.65,1.0,False
0.03,9,685.32,102.8,27.0,15.42,38.07,14.0,6.67,2.0,False
0.03,8,433.78,78.87,22.0,14.34,24.1,11.0,5.5,2.0,False
0.02,5,510.36,72.91,23.0,10.42,28.35,8.0,7.0,1.0,False
2.83,144,370994.3,8500.69,1288.0,194.78,20610.79,213.0,43.64,1.0,False
0.13,16,2397.22,399.54,85.0,66.59,133.18,24.0,6.0,1.0,False
0.03,5,488.46,103.61,28.0,21.98,27.14,8.0,4.71,1.0,False
0.82,103,160497.19,2467.19,498.0,37.93,8916.51,141.0,65.05,3.0,False
0.09,16,4797.27,274.13,72.0,15.66,266.51,20.0,17.5,4.0,False
0.05,2,1618.61,154.15,43.0,14.68,89.92,14.0,10.5,1.0,False
0.02,4,400.05,53.34,19.0,7.11,22.22,6.0,7.5,1.0,False
0.06,9,2840.25,177.52,56.0,11.09,157.79,14.0,16.0,1.0,False
0.09,10,5601.2,268.0,67.0,12.82,311.18,16.0,20.9,1.0,False
0.21,19,14910.2,615.34,128.0,25.4,828.34,27.0,24.23,2.0,False
3.62,287,492866.89,10874.14,1461.0,239.92,27381.49,382.0,45.32,11.0,False
0.15,20,2592.89,451.79,93.0,78.72,144.05,30.0,5.74,1.0,False
0.03,7,512.78,97.67,25.0,18.6,28.49,10.0,5.25,2.0,False
0.01,4,82.12,36.5,13.0,16.21,4.56,6.0,2.25,1.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,3.0,False
0.22,23,10147.15,645.97,124.0,41.12,563.73,34.0,15.71,3.0,False
0.22,26,11097.18,655.99,125.0,38.78,616.51,34.0,16.92,3.0,False
0.12,16,8356.84,359.43,92.0,15.46,464.27,22.0,23.25,1.0,False
0.12,16,6413.79,356.32,103.0,19.8,356.32,18.0,18.0,1.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,4.0,False
0.12,21,5648.67,353.04,77.0,22.07,313.82,31.0,16.0,3.0,False
0.18,28,7566.59,529.66,105.0,37.08,420.37,33.0,14.29,4.0,False
0.11,15,3397.2,328.76,67.0,31.82,188.73,26.0,10.33,3.0,False
0.12,24,2131.96,349.77,72.0,57.38,118.44,32.0,6.1,3.0,False
0.28,34,12198.59,830.42,155.0,56.53,677.7,57.0,14.69,4.0,False
0.0,2,17.41,11.61,5.0,7.74,0.97,5.0,1.5,1.0,False
0.05,11,750.07,162.52,37.0,35.21,41.67,14.0,4.62,2.0,False
0.44,63,25137.78,1305.4,229.0,67.79,1396.54,70.0,19.26,15.0,False
0.01,3,152.16,38.04,12.0,9.51,8.45,5.0,4.0,1.0,False
0.45,46,89973.65,1357.07,300.0,20.47,4998.54,67.0,66.3,3.0,False
0.01,5,109.62,36.54,11.0,12.18,6.09,8.0,3.0,2.0,False
0.6,66,50542.51,1810.8,326.0,64.87,2807.92,80.0,27.91,8.0,False
0.32,46,16474.27,969.07,170.0,57.0,915.24,53.0,17.0,11.0,False
0.05,7,1524.96,151.24,37.0,15.0,84.72,11.0,10.08,2.0,False
0.01,2,72.0,24.0,8.0,8.0,4.0,4.0,3.0,1.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,19.0,False
0.69,70,59789.22,2062.46,340.0,71.15,3321.62,89.0,28.99,17.0,False
0.9,109,97806.87,2699.13,402.0,74.49,5433.71,129.0,36.24,23.0,False
0.06,8,1446.54,166.91,38.0,19.26,80.36,33.0,8.67,2.0,False
0.04,21,419.01,128.93,33.0,39.67,23.28,26.0,3.25,4.0,False
0.06,16,588.5,185.84,43.0,58.69,32.68,23.0,3.17,2.0,False
0.0,2,0.0,4.75,3.0,0.0,0.0,7.0,0.0,1.0,False
0.0,2,0.0,4.75,3.0,0.0,0.0,7.0,0.0,1.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,4.0,False
0.18,28,13279.76,546.99,105.0,22.53,737.76,41.0,24.28,7.0,False
0.45,59,36782.43,1352.68,229.0,49.74,2043.47,72.0,27.19,13.0,False
0.12,27,4675.24,351.52,86.0,26.43,259.74,37.0,13.3,4.0,False
0.1,18,5560.54,288.86,68.0,15.01,308.92,27.0,19.25,3.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,8.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,4.0,False
0.17,31,10613.87,510.28,103.0,24.53,589.66,38.0,20.8,6.0,False
0.19,35,12147.5,565.0,113.0,26.28,674.86,42.0,21.5,7.0,False
0.21,32,8341.92,641.69,119.0,49.36,463.44,52.0,13.0,3.0,False
0.05,11,2295.52,147.15,36.0,9.43,127.53,18.0,15.6,4.0,False
0.84,114,139459.89,2532.0,422.0,45.97,7747.77,157.0,55.08,10.0,False
0.14,20,7852.9,420.69,93.0,22.54,436.27,30.0,18.67,4.0,False
0.0,2,0.0,4.75,3.0,0.0,0.0,7.0,0.0,1.0,False
0.15,20,7514.51,451.32,86.0,27.11,417.47,27.0,16.65,3.0,False
0.04,15,1206.17,121.84,32.0,12.31,67.01,19.0,9.9,3.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,21.0,False
0.08,17,4121.92,241.58,55.0,14.16,229.0,23.0,17.06,5.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,263.0,0.0,17.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,62.0,False
0.14,22,11809.75,427.5,88.0,15.48,656.1,38.0,27.62,8.0,False
0.02,7,255.97,60.94,17.0,14.51,14.22,11.0,4.2,2.0,False
0.53,53,30805.41,1589.96,266.0,82.06,1711.41,58.0,19.38,4.0,False
0.05,8,1774.99,140.87,37.0,11.18,98.61,11.0,12.6,2.0,False
0.35,45,26055.53,1048.21,192.0,42.17,1447.53,58.0,24.86,10.0,False
0.31,39,20868.59,944.28,170.0,42.73,1159.37,56.0,22.1,7.0,False
0.07,9,1304.72,196.2,48.0,29.5,72.48,11.0,6.65,1.0,False
0.22,24,11950.27,659.92,124.0,36.44,663.9,28.0,18.11,5.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,16.0,False
0.03,7,410.22,78.14,20.0,14.88,22.79,10.0,5.25,2.0,False
0.05,11,1609.36,144.43,34.0,12.96,89.41,16.0,11.14,3.0,False
0.04,7,1128.02,125.34,29.0,13.93,62.67,10.0,9.0,3.0,False
0.32,39,20906.91,945.11,165.0,42.72,1161.49,47.0,22.12,6.0,False
0.26,36,17694.45,783.2,141.0,34.67,983.03,46.0,22.59,6.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,10.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,9.0,False
0.02,5,225.85,53.77,15.0,12.8,12.55,7.0,4.2,2.0,False
0.02,6,248.04,53.15,16.0,11.39,13.78,8.0,4.67,2.0,False
0.19,39,17284.57,559.82,113.0,18.13,960.25,67.0,30.88,15.0,False
0.47,66,68511.5,1421.68,262.0,29.5,3806.19,86.0,48.19,16.0,False
0.08,12,4448.28,254.19,57.0,14.53,247.13,15.0,17.5,8.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,12.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,6.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,5.0,False
0.01,5,50.53,25.27,9.0,12.63,2.81,7.0,2.0,2.0,False
0.4,34,35734.62,1202.14,213.0,40.44,1985.26,42.0,29.73,9.0,False
0.22,26,16824.27,665.96,126.0,26.36,934.68,37.0,25.26,10.0,False
0.03,12,437.84,87.57,21.0,17.51,24.32,14.0,5.0,2.0,False
0.0,0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,6.0,False
0.06,17,2537.83,174.17,41.0,11.95,140.99,21.0,14.57,4.0,False
0.06,19,1487.5,175.0,35.0,20.59,82.64,21.0,8.5,2.0,False
0.03,5,548.26,76.15,20.0,10.58,30.46,5.0,7.2,2.0,False
0.0,2,12.0,8.0,4.0,5.33,0.67,4.0,1.5,1.0,False
0.0,2,12.0,8.0,4.0,5.33,0.67,4.0,1.5,1.0,False
